STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",2/17/2021,8.95,,0,0,3.1,34,38,26,330,300,19.9,27.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/18/2021,10.51,,0.04,1,2,28,37,20,120,120,21.9,31.1,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/19/2021,11.18,,0.09,0.3,2,35,43,31,250,240,21.9,30,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/20/2021,8.5,,0.02,0.2,1.2,35,41,30,360,360,17,21.9,1,1,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",2/21/2021,5.59,,0,0,0,34,44,24,320,310,16.1,23,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/22/2021,9.17,,0,0,0,39,51,33,130,120,16.1,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/23/2021,10.07,,0,0,0,42,49,32,300,290,25.9,36,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/24/2021,10.29,,0,0,0,35,43,26,310,330,23,31.1,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/25/2021,10.74,,0,0,0,30,39,24,110,120,23,29.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/26/2021,10.74,,0.01,0.3,0,34,41,27,300,290,45,59.1,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/27/2021,8.5,,0.02,0.6,0,33,41,25,320,300,21.9,28,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",2/28/2021,5.37,,0,0,0,30,41,20,140,130,12.1,14.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/1/2021,11.41,,0,0,0,37,52,27,120,120,28,36,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/2/2021,6.26,,0,0,0,41,56,30,160,140,15,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/3/2021,6.49,,0,0,0,43,60,31,140,150,15,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/4/2021,7.61,,0,0,0,45,63,31,120,110,18.1,23.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/5/2021,19.01,,0,0,0,52,68,39,140,130,29.1,40,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/6/2021,7.83,,0.04,0,0,52,57,35,120,120,23,31.1,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/7/2021,8.28,,0,0,0,42,57,33,120,130,18.1,23.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/8/2021,4.03,,0.02,0,0,42,54,34,220,220,21,29.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/9/2021,4.47,,0,0,0,38,51,28,120,120,12.1,16.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/10/2021,4.25,,0,0,0,39,52,25,140,140,12.1,17,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/11/2021,4.92,,0,0,0,40,56,25,300,300,19.9,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/12/2021,5.82,,0,0,0,40,55,26,290,330,16.1,21.9,,,,,,1
